timestamp,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.373357,3.5e-05,0.01074,0.0,0.373357,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.333363,0.87188,0.981186,0.0,0.333363,0.379809,0.0,0.0,0.62575,0.0,0.0,0.0,0.560817
4,0.0,0.25683,0.001436,0.0,1.2e-05,0.25683,0.0,0.060565,0.936262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.321122,0.191175,0.045116,0.849117,0.951716,0.0,0.277925,0.365465,0.0,0.0,0.605273,0.0,0.0,0.0,0.540488
6,0.0,0.0,0.0,0.098014,9e-06,0.002737,0.0,0.098014,0.361208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.043459,0.025873,0.291631,0.768778,0.868059,0.0,0.980161,0.332262,0.0,0.0,0.547745,0.0,0.0,0.0,0.48984
8,0.0,0.015988,0.46361,0.107285,0.282818,0.46361,0.0,0.683101,0.909958,0.0,0.0,0.799581,0.0,0.0,0.0,0.180202
9,0.0,0.005882,0.553915,0.039468,0.784072,0.88036,0.0,0.988473,0.334755,0.0,0.0,0.493404,0.0,0.0,0.0,0.066293
10,0.0,0.0,0.0,0.056475,4e-06,1.3e-05,0.0,0.056475,0.197117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.000796,0.074964,0.275989,0.726471,0.816856,0.0,0.917514,0.312736,0.0,0.0,0.51133,0.0,0.0,0.0,0.455028
12,0.0,0.0,0.0,0.025568,2e-06,6e-06,0.0,0.025568,0.090266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1e-06,0.002298,0.0,0.0,1e-06,0.102447,0.0,0.0,0.000648,0.0,0.028891,0.0,0.028891
14,0.0,0.0,0.0,0.02899,0.002481,0.0,0.0,0.0,0.098145,0.0,0.0,0.000719,0.0,0.02899,0.0,0.008506
15,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,4e-06,0.000625,0.0,0.0,0.0,0.000194,0.000194,0.0
16,0.0,0.0,0.0,0.0,0.012996,0.0,0.0,0.0,0.047374,0.0,0.0,0.0,0.0,0.012996,0.0,0.0
17,0.0,0.0,0.0,0.971552,0.010137,0.031716,0.0,0.310507,2e-06,0.0,0.0,0.000339,0.0,1e-06,0.0,0.000108
18,0.0,1e-06,6.8e-05,0.58811,0.232431,0.412426,0.0,0.58811,0.670047,0.023809,0.0,0.165486,0.0,0.087658,0.021176,0.989377
19,0.0,0.0,0.931759,0.216353,0.576943,0.931759,0.0,0.822274,0.246497,0.008759,0.0,0.407598,0.0,0.032247,0.00779,0.363971
20,0.0,0.0,2.2e-05,0.0,0.0,2.2e-05,0.0,0.000944,0.015582,0.0,0.0,0.754017,0.0,0.0,0.0,0.0
21,0.0,0.0,0.401498,0.02928,0.568325,0.638118,0.0,0.902409,0.242643,0.001185,0.0,0.357638,0.0,0.004364,0.001054,0.049258
22,0.0,0.0,0.147703,0.543783,0.209075,0.234751,0.0,0.543783,0.616187,0.000436,0.0,0.131568,0.0,0.001606,0.000388,0.89408
23,0.0,0.0,0.054337,0.200047,0.526096,0.591828,0.0,0.941582,0.226682,0.00016,0.0,0.369528,0.0,0.000591,0.000143,0.328914
24,0.0,0.0,0.019989,0.502133,0.19354,0.217721,0.0,0.502133,0.569642,5.9e-05,0.0,0.945143,0.0,0.000217,5.2e-05,0.832767
25,0.0,0.0,0.007354,0.184724,0.394618,0.080095,0.0,0.184724,0.576898,2.2e-05,0.0,0.955093,0.0,0.508306,1.9e-05,0.843375
26,0.0,0.0,0.0,0.001155,9.9e-05,0.0,0.0,0.0,0.003912,0.556777,0.0,2.9e-05,0.0,0.16662,0.16662,0.000339
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5e-05,0.0,0.0,0.0,8e-06,8e-06,0.0
28,0.0,0.0,0.000366,0.068815,0.991391,0.003988,0.0,0.009197,0.532911,0.127638,0.0,0.884324,0.0,0.468253,0.113132,0.788128
29,0.0,0.0,0.000135,0.721481,0.457159,0.811183,0.0,0.912038,0.196047,0.046955,0.0,0.325325,0.0,0.172261,0.041619,0.289936
30,0.0,0.0,5e-05,0.425536,0.928928,0.298417,0.0,0.425536,0.484824,0.017274,0.0,0.814942,0.0,0.063371,0.015311,0.71701
31,0.0,0.0,0.297837,0.0,0.000328,0.001405,0.0,0.027019,0.0,0.0,0.0,6e-06,0.0,0.0,0.0,2e-06
