timestamp,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.562733,0.562733,0.0,0.0,0.0,0.0,0.0,0.016159,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,2.6e-05,2.6e-05,0.0,0.0,0.001028,0.0,0.0,0.037153,0.0,0.0,0.0,0.0
5,0.0,0.753701,0.0,0.753701,0.127774,0.897321,0.531742,0.0,0.18488,0.0,0.0,0.26467,0.0,0.633067,0.0,0.633067
6,0.0,3e-06,0.0,3e-06,0.0,1.5e-05,0.002877,8.8e-05,0.0,0.0,0.0,0.0,0.0,0.093871,0.0,0.0
7,0.0,0.0,0.0,0.0,0.004761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000138,0.0,0.0
8,0.0,0.0,0.0,0.0,0.426382,0.0,0.0,0.0,5.1e-05,0.0,0.0,0.012114,0.0,0.0,0.0,0.000319
9,0.0,0.0,0.0,0.0,1.9e-05,0.000647,0.021604,0.021604,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040082
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-05
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107245
13,0.0,0.000253,0.0,0.000253,0.006187,0.008788,0.012482,0.012482,0.002506,0.0,0.0,0.004334,0.0,0.001019,0.0,0.602546
14,0.0,9.3e-05,0.0,9.3e-05,0.002276,0.003233,0.004592,0.004592,0.964643,0.0,0.0,0.461257,0.0,0.000375,0.0,0.221664
15,0.0,3.4e-05,0.0,3.4e-05,0.000837,0.509385,0.001689,0.001689,0.737048,0.0,0.0,0.509385,0.0,0.000138,0.0,0.081546
16,0.0,0.0,0.0,0.0,0.0,0.002542,0.083198,0.0,2e-06,0.0,0.0,7.8e-05,0.0,0.475994,0.0,0.475994
17,0.0,0.000124,0.0,0.000124,0.0,0.000707,0.132467,0.004047,0.0,0.0,0.0,0.0,0.0,0.132467,0.0,2.2e-05
18,0.0,0.0,0.0,0.0,0.236336,0.0,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.006833,0.0,0.0
19,0.0,0.055033,0.0,0.055033,0.318463,0.06552,0.110566,0.078005,0.549504,0.0,0.0,0.959619,0.0,0.223444,0.0,0.666022
20,0.0,0.020246,0.0,0.020246,0.50403,0.71588,0.040675,0.028697,0.202151,0.0,0.0,0.353024,0.0,0.0822,0.0,0.245016
21,0.0,0.0,0.0,0.0,0.0,2e-06,5.4e-05,5.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003191
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183939
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705965
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-05
26,0.0,0.0,0.0,0.0,0.0,0.193699,0.0,0.0,0.0,0.0,0.0,0.193699,0.0,0.0,0.005562,0.0
27,0.0,1.8e-05,0.0,1.8e-05,0.00046,0.922289,0.000927,0.000927,0.451802,0.0,0.0,0.650682,0.0,7.5e-05,0.218892,0.048083
28,0.0,0.681661,0.0,7e-06,0.000169,0.811554,0.480917,0.966198,0.166209,0.0,0.0,0.239373,0.0,0.572558,0.080526,0.572558
29,0.0,1e-06,0.0,0.0,0.0,6e-06,0.001054,3.2e-05,0.0,0.0,0.0,0.0,0.0,0.034374,0.0,0.034374
30,0.0,0.0,0.0,0.0,0.001743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001743,0.0,2e-06
31,0.0,0.0,0.000117,0.0,0.0,0.0,0.000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458493
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825654
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100495
35,0.0,0.000622,0.007405,0.0,0.00357,0.00074,0.007405,0.000881,0.000152,0.0,0.0,0.699894,0.0,0.00357,7.3e-05,0.449726
36,0.0,0.000229,0.002724,0.0,0.001313,0.000272,0.411046,0.000324,5.6e-05,0.0,0.0,0.257477,0.0,0.681468,2.7e-05,0.165445
37,0.0,8.4e-05,0.001002,0.0,0.000483,0.0001,0.151215,0.000119,2.1e-05,0.0,0.0,0.09472,0.0,0.250698,1e-05,0.060864
38,0.0,0.0,0.0,0.0,0.0,0.0,0.000689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000689,0.0
39,0.0,0.0,0.0,0.0,0.0,0.047354,0.0,0.0,0.0,0.0,0.0,0.047354,0.0,0.0,0.001447,0.0
40,0.0,4e-06,5e-05,0.0,2.4e-05,0.781617,0.065345,6e-06,0.389533,0.0,0.0,0.553653,0.0,0.012482,0.191313,0.00303
41,0.0,0.573077,1.8e-05,0.573077,9e-06,0.680912,0.405935,0.809039,0.143301,0.0,0.0,0.203677,0.0,0.482319,0.07038,0.482319
42,0.0,0.210823,7e-06,0.210823,3e-06,0.250494,0.420176,0.297629,0.052718,0.0,0.0,0.074929,0.0,0.83743,0.025891,0.177435
43,0.0,0.077557,2e-06,0.077557,0.438015,0.092151,0.154574,0.109492,0.75372,0.0,0.0,0.027565,0.0,0.308073,0.009525,0.905011
44,0.0,0.028532,1e-06,0.028532,0.683821,0.97124,0.056865,0.04028,0.277278,0.0,0.0,0.478951,0.0,0.113334,0.003504,0.332935
45,0.0,0.0,0.0,0.0,1e-06,3.4e-05,0.001133,0.001133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067325
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120973
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310367
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000676
50,0.0,7.1e-05,0.0,7.1e-05,0.001695,0.002407,0.003419,0.003419,0.000687,0.0,0.0,0.001187,0.0,0.000281,0.798666,0.177302
51,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.0,0.006454,0.0,0.0,0.237963,0.0,0.0,5e-06,0.0
